epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,13933.5,0.63029,0.57578,1.04681,0.83398,0.78527,0.84236,0.62221,0.94783,0.79027,1.28377,0.000693305,0.000693305,0.000693305
61,14157.9,0.6533,0.59352,1.07545,0.873,0.73676,0.83232,0.61803,0.91997,0.81811,1.24294,0.000676802,0.000676802,0.000676802
62,14390.1,0.63462,0.57301,1.06205,0.85625,0.7961,0.83953,0.63425,0.85578,0.78086,1.19253,0.000660299,0.000660299,0.000660299
63,14648.4,0.64539,0.57731,1.065,0.84747,0.78222,0.83211,0.59975,0.96758,0.88041,1.28877,0.000643795,0.000643795,0.000643795
64,14923.7,0.64999,0.5657,1.0655,0.82854,0.77639,0.8355,0.62347,0.90472,0.81798,1.23035,0.000627292,0.000627292,0.000627292
65,15214.8,0.65213,0.56675,1.05498,0.84015,0.78607,0.83034,0.61277,0.9257,0.84,1.23576,0.000610789,0.000610789,0.000610789
66,15487.7,0.59669,0.52079,1.0441,0.82529,0.80139,0.83796,0.61248,0.96169,0.88783,1.26069,0.000594286,0.000594286,0.000594286
67,15762.7,0.60819,0.53417,1.04018,0.82879,0.77444,0.84003,0.62881,0.92431,0.82411,1.21275,0.000577782,0.000577782,0.000577782
68,15924,0.61367,0.56557,1.03684,0.90326,0.72193,0.843,0.63382,0.8896,0.76073,1.21717,0.000561279,0.000561279,0.000561279
69,16131.8,0.61134,0.52285,1.0579,0.84061,0.79729,0.85107,0.64142,0.88111,0.76288,1.20795,0.000544776,0.000544776,0.000544776
70,16336.1,0.60223,0.52134,1.02618,0.90122,0.73083,0.84053,0.6301,0.88087,0.81242,1.21863,0.000528272,0.000528272,0.000528272
71,16583,0.58308,0.51626,1.03746,0.85569,0.78154,0.84994,0.6342,0.87415,0.77141,1.2093,0.000511769,0.000511769,0.000511769
72,16777,0.58389,0.52214,1.01732,0.87202,0.78385,0.85163,0.64117,0.86424,0.73911,1.20323,0.000495266,0.000495266,0.000495266
73,16970.4,0.58826,0.52556,1.05111,0.82779,0.82593,0.86083,0.64594,0.88923,0.72741,1.2181,0.000478762,0.000478762,0.000478762
74,17128.1,0.57322,0.50712,1.02289,0.83696,0.80766,0.8579,0.66288,0.85304,0.67615,1.21344,0.000462259,0.000462259,0.000462259
75,17289.2,0.58542,0.49642,1.02232,0.85495,0.77533,0.84734,0.64598,0.85358,0.70892,1.21097,0.000445756,0.000445756,0.000445756
76,17446.6,0.58342,0.52713,1.02089,0.85131,0.77068,0.83959,0.635,0.88618,0.7921,1.21999,0.000429253,0.000429253,0.000429253
77,17606.1,0.55404,0.48948,1.03083,0.83906,0.76127,0.82851,0.62026,0.90785,0.83222,1.25246,0.000412749,0.000412749,0.000412749
78,17764.6,0.55157,0.50414,1.00747,0.813,0.79966,0.84596,0.64313,0.8853,0.75353,1.21744,0.000396246,0.000396246,0.000396246
79,17923.6,0.54751,0.48102,1.00957,0.83801,0.79202,0.84807,0.64033,0.89569,0.74408,1.22871,0.000379743,0.000379743,0.000379743
80,18097.2,0.54774,0.47065,0.9897,0.82578,0.78234,0.83354,0.63346,0.89507,0.77577,1.20768,0.000363239,0.000363239,0.000363239
